source,target,weight
22166,22183,30
200006,22183,18
22183,22166,13
200167,200037,10
22183,200167,9
200115,200041,8
200115,200167,7
200082,22183,5
200115,200006,5
200115,200174,4
200174,200013,4
22183,200082,3
22183,200115,3
1013,22166,3
200115,200252,2
200252,200013,2
200162,22166,2
22172,200115,2
22183,200162,2
200247,200037,2
200115,200251,2
200167,200013,2
200174,22183,2
988,22166,1
3430,200250,1
22166,1105,1
995,200006,1
200162,22172,1
200250,200047,1
1061,975,1
200249,200013,1
22183,1125,1
200167,22166,1
200047,1123,1
1045,200041,1
1045,22166,1
22183,1123,1
200115,22183,1
22166,960,1
200174,200249,1
200074,22166,1
1019,200250,1
1105,22166,1
22183,1184,1
1153,200252,1
22183,200013,1
1228,200256,1
200249,200006,1
200249,200115,1
200162,22183,1
1068,22166,1
200251,200115,1
200247,200148,1
200102,200167,1
1066,200234,1
200041,200115,1
200250,200249,1
200019,22166,1
200251,22183,1
200082,1123,1
22183,200247,1
1105,200082,1
200148,200115,1
200247,200247,1
200115,200247,1
1011,22166,1
22166,200162,1
200037,200247,1
22183,200006,1
1011,1123,1
981,22166,1
22183,1211,1
200167,200006,1
22172,200247,1
200167,200115,1
1019,1163,1
1066,22166,1
22166,1028,1
200251,200174,1
1052,22166,1
22183,1177,1
1066,200115,1
200047,22166,1
200247,200234,1
200156,22166,1
22166,2686,1
1066,3483,1
200242,22166,1
200006,200013,1
200013,200148,1
200247,22166,1
200247,200006,1
1125,1007,1
200162,1229,1
22172,200249,1
